FID,mode,season,year,route_id,route_name,direction_id,day_type_id,time_period_id,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,stop_order_real,main_branch,ashmont_branch,braintree_branch,average_flow_min,day_type_weekday,stop_Alewife,stop_Andrew,stop_Ashmont,stop_Braintree,stop_Broadway,stop_Central,stop_Charles/MGH,stop_Davis,stop_Downtown Crossing,stop_Fields Corner,stop_Harvard,stop_JFK/Umass,stop_Kendall/MIT,stop_North Quincy,stop_Park Street,stop_Porter,stop_Quincy Adams,stop_Quincy Center,stop_Savin Hill,stop_Shawmut,stop_South Station,stop_Wollaston,time_period_AM_PEAK,time_period_EARLY_AM,time_period_EVENING,time_period_LATE_EVENING,time_period_MIDDAY_BASE,time_period_MIDDAY_SCHOOL,time_period_NIGHT,time_period_PM_PEAK,time_period_VERY_EARLY_MORNING
4906,1,Fall,2019,Red,Red Line,0,1,6,place-dwnxg,403860,282570,77,5245,3670,17815,9.0,1,0,0,119.56375838926175,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4907,1,Fall,2019,Red,Red Line,0,1,3,place-alfcl,372451,0,77,4837,0,4837,1.0,1,0,0,40.64705882352941,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4912,1,Fall,2019,Red,Red Line,0,1,6,place-fldcr,15305,106960,77,199,1389,3816,15.0,0,1,0,25.610738255033556,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4918,1,Fall,2019,Red,Red Line,0,1,6,place-harsq,261472,38963,77,3396,506,6461,4.0,1,0,0,43.36241610738255,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4923,1,Fall,2019,Red,Red Line,0,1,6,place-jfk,91894,138189,77,1193,1795,7950,13.0,1,0,0,53.355704697986575,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4926,1,Fall,2019,Red,Red Line,0,1,3,place-andrw,17199,24009,77,223,312,3203,12.0,1,0,0,26.915966386554622,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4928,1,Fall,2019,Red,Red Line,0,1,6,place-knncl,378498,36503,77,4916,474,12412,6.0,1,0,0,83.30201342281879,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4930,1,Fall,2019,Red,Red Line,0,1,3,place-asmnl,0,38739,77,0,503,0,17.0,0,1,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4931,1,Fall,2019,Red,Red Line,0,1,6,place-nqncy,19855,177107,77,258,2300,8091,14.0,0,0,1,54.30201342281879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4932,1,Fall,2019,Red,Red Line,0,1,6,place-pktrm,447995,265892,77,5818,3453,16240,8.0,1,0,0,108.99328859060402,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4933,1,Fall,2019,Red,Red Line,0,1,6,place-portr,65715,17812,77,853,231,3572,3.0,1,0,0,23.973154362416107,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4934,1,Fall,2019,Red,Red Line,0,1,6,place-qamnl,841,144985,77,11,1883,1885,17.0,0,0,1,12.651006711409396,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4935,1,Fall,2019,Red,Red Line,0,1,6,place-qnctr,7058,229866,77,92,2985,3757,16.0,0,0,1,25.21476510067114,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4936,1,Fall,2019,Red,Red Line,0,1,6,place-shmnl,4676,63138,77,61,820,5007,14.0,0,1,0,33.604026845637584,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
4937,1,Fall,2019,Red,Red Line,0,1,6,place-smmnl,1925,75118,77,25,976,2866,16.0,0,1,0,19.23489932885906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
4938,1,Fall,2019,Red,Red Line,0,1,6,place-sstat,348532,314496,77,4526,4084,18258,10.0,1,0,0,122.53691275167785,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
4939,1,Fall,2019,Red,Red Line,0,1,6,place-wlsta,4779,115678,77,62,1502,6651,15.0,0,0,1,44.63758389261745,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
4940,1,Fall,2019,Red,Red Line,0,1,7,place-alfcl,58141,0,77,755,0,755,1.0,1,0,0,3.61244019138756,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4941,1,Fall,2019,Red,Red Line,0,1,7,place-andrw,18057,70270,77,235,913,8210,12.0,1,0,0,39.282296650717704,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4942,1,Fall,2019,Red,Red Line,0,1,7,place-asmnl,0,103165,77,0,1340,0,17.0,0,1,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4943,1,Fall,2019,Red,Red Line,0,1,7,place-brdwy,28769,62123,77,374,807,8888,11.0,1,0,0,42.526315789473685,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4944,1,Fall,2019,Red,Red Line,0,1,7,place-brntn,0,42161,77,0,548,0,18.0,0,0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4945,1,Fall,2019,Red,Red Line,0,1,7,place-chmnl,74143,30335,77,963,394,6000,7.0,1,0,0,28.708133971291865,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4946,1,Fall,2019,Red,Red Line,0,1,7,place-cntsq,97511,46836,77,1266,608,4278,5.0,1,0,0,20.4688995215311,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4947,1,Fall,2019,Red,Red Line,0,1,7,place-davis,65174,8302,77,846,108,1494,2.0,1,0,0,7.148325358851674,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4960,1,Fall,2019,Red,Red Line,0,1,3,place-brdwy,16061,43929,77,209,571,3292,11.0,1,0,0,27.66386554621849,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4966,1,Fall,2019,Red,Red Line,0,1,3,place-brntn,0,10549,77,0,137,0,18.0,0,0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4967,1,Fall,2019,Red,Red Line,0,1,3,place-chmnl,31190,101949,77,405,1324,12003,7.0,1,0,0,100.8655462184874,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4968,1,Fall,2019,Red,Red Line,0,1,3,place-cntsq,199838,120944,77,2595,1571,15139,5.0,1,0,0,127.21848739495799,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4969,1,Fall,2019,Red,Red Line,0,1,3,place-davis,372722,3231,77,4841,42,9636,2.0,1,0,0,80.97478991596638,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4970,1,Fall,2019,Red,Red Line,0,1,3,place-dwnxg,163998,275678,77,2130,3580,7976,9.0,1,0,0,67.02521008403362,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4971,1,Fall,2019,Red,Red Line,0,1,3,place-fldcr,12980,30531,77,169,397,642,15.0,0,1,0,5.394957983193278,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4972,1,Fall,2019,Red,Red Line,0,1,3,place-harsq,184960,85248,77,2402,1107,14115,4.0,1,0,0,118.61344537815125,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4973,1,Fall,2019,Red,Red Line,0,1,3,place-jfk,24565,111386,77,319,1447,1038,13.0,1,0,0,8.722689075630251,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4974,1,Fall,2019,Red,Red Line,0,1,3,place-knncl,56897,227641,77,739,2956,12922,6.0,1,0,0,108.58823529411765,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4975,1,Fall,2019,Red,Red Line,0,1,3,place-nqncy,6705,36500,77,87,474,819,14.0,0,0,1,6.882352941176471,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4976,1,Fall,2019,Red,Red Line,0,1,3,place-pktrm,105230,303643,77,1367,3943,9426,8.0,1,0,0,79.21008403361344,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4977,1,Fall,2019,Red,Red Line,0,1,3,place-portr,255267,10087,77,3315,131,12820,3.0,1,0,0,107.73109243697479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4978,1,Fall,2019,Red,Red Line,0,1,3,place-qamnl,565,15865,77,7,206,137,17.0,0,0,1,1.1512605042016806,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4979,1,Fall,2019,Red,Red Line,0,1,3,place-qnctr,4337,41001,77,56,532,336,16.0,0,0,1,2.823529411764706,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
4980,1,Fall,2019,Red,Red Line,0,1,3,place-shmnl,7276,7237,77,94,94,870,14.0,0,1,0,7.310924369747899,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
4981,1,Fall,2019,Red,Red Line,0,1,3,place-smmnl,1807,12506,77,23,162,503,16.0,0,1,0,4.226890756302521,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
4982,1,Fall,2019,Red,Red Line,0,1,3,place-sstat,46880,379692,77,609,4931,3654,10.0,1,0,0,30.705882352941178,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
4983,1,Fall,2019,Red,Red Line,0,1,3,place-wlsta,5002,5567,77,65,72,812,15.0,0,0,1,6.823529411764706,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
4984,1,Fall,2019,Red,Red Line,0,1,4,place-alfcl,196752,0,77,2555,0,2555,1.0,1,0,0,9.49814126394052,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4985,1,Fall,2019,Red,Red Line,0,1,4,place-andrw,23345,43564,77,303,566,4969,12.0,1,0,0,18.472118959107807,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4986,1,Fall,2019,Red,Red Line,0,1,4,place-asmnl,0,61480,77,0,798,0,17.0,0,1,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4987,1,Fall,2019,Red,Red Line,0,1,4,place-brdwy,17478,44967,77,227,584,5232,11.0,1,0,0,19.449814126394052,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4988,1,Fall,2019,Red,Red Line,0,1,4,place-brntn,0,25569,77,0,332,0,18.0,0,0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4989,1,Fall,2019,Red,Red Line,0,1,4,place-chmnl,62761,78902,77,815,1025,9320,7.0,1,0,0,34.646840148698885,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4990,1,Fall,2019,Red,Red Line,0,1,4,place-cntsq,189460,85841,77,2461,1115,10904,5.0,1,0,0,40.53531598513011,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4991,1,Fall,2019,Red,Red Line,0,1,4,place-davis,231035,6548,77,3000,85,5471,2.0,1,0,0,20.33828996282528,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4992,1,Fall,2019,Red,Red Line,0,1,4,place-dwnxg,216904,234465,77,2817,3045,7673,9.0,1,0,0,28.524163568773233,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4993,1,Fall,2019,Red,Red Line,0,1,4,place-fldcr,10412,44444,77,135,577,1049,15.0,0,1,0,3.899628252788104,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4994,1,Fall,2019,Red,Red Line,0,1,4,place-harsq,233481,70560,77,3032,916,9558,4.0,1,0,0,35.531598513011154,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4995,1,Fall,2019,Red,Red Line,0,1,4,place-jfk,45103,130900,77,586,1700,1927,13.0,1,0,0,7.163568773234201,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4996,1,Fall,2019,Red,Red Line,0,1,4,place-knncl,91860,197667,77,1193,2567,9529,6.0,1,0,0,35.42379182156134,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
